Depth_cm	d18Osw 	d18OC	Mg/Ca	Fe/Ca_µmol/mol	Al/Ca_µmol/mol	SST (¡C)
2.5		-3.091				
3.5	-0.398	-3.211	5.033	75	967	28.71
4.5	-0.235	-3.065	5.069	65	557	28.79
5.5	-0.185	-2.903	4.830	34	161	28.25
6.5	-0.051	-2.959	5.245	42	63	29.16
7.5	-0.388	-3.146	4.913	57	54	28.44
8.5	-0.183	-3.068	5.191	45	140	29.05
9.5	-0.361	-3.089	4.851	24	35	28.30
10.5	-0.063	-2.836	4.947	150	143	28.52
11.5	-0.304	-3.051	4.892	25	25	28.39
12.5	-0.267	-2.882	4.622	31	243	27.76
13.5	-0.328	-2.949	4.632	69	173	27.78
14.5	-0.374	-3.071	4.788	58	446	28.15
15.5	-0.556	-3.063	4.410	94	500	27.24
16.5	-0.519	-3.136	4.623	25	171	27.76
18.5	-0.374	-3.112	4.872	42	142	28.35
19.5	-0.453	-3.087	4.659	29	50	27.85
20.5	-0.614	-3.305	4.774	25	20	28.12
21.5	-0.378	-2.878	4.395	37	177	27.20
22.5	-0.170	-3.028	5.133	37	27	28.92
23.5	-0.027	-2.707	4.751	47	210	28.07
24.5	-0.187	-3.061	5.168	31	531	29.00
25.5	-0.185	-2.886	4.794	21	229	28.17
26.5	-0.365	-3.208	5.097	47	134	28.85
27.5	-0.606	-3.222	4.623	33	149	27.76
28.5	-0.606	-3.230	4.637	42	286	27.80
29.5	-0.573	-3.093	4.435	30	212	27.30
30.5	-0.388	-3.052	4.720	68	618	27.99
31.5	-0.348	-2.954	4.603	94	146	27.71
32.5	-0.582	-3.134	4.495	29	247	27.45
33.5	-0.703	-3.171	4.336	46	44	27.05
34.5	-0.302	-2.867	4.521	48	174	27.51
35.5	-0.255	-2.817	4.516	62	171	27.50
36.5	-0.096	-2.956	5.135	103	256	28.93
37.5	-0.533	-3.053	4.435	40	56	27.30
38.5	-0.494	-3.125	4.654	52	49	27.84
39.5	-0.413	-2.928	4.425	40	69	27.28
40.5	-0.390	-3.060	4.731	67	96	28.02
41.5	-0.518	-3.149	4.653	31	43	27.83
42.5	-0.692	-3.440	4.893	75	190	28.39
43.5	-0.416	-2.997	4.552	117	238	27.59
44.5	-0.433	-3.062	4.647	70	153	27.82
45.5	-0.611	-3.084	4.346	49	164	27.08
46.5	-0.432	-3.046	4.617	42	50	27.75
47.5		-3.091				
48.5	-0.549	-2.992	4.290	34	631	26.93
49.5	-0.417	-3.096	4.750	63	123	28.06
