Depth_cm	Mg/Ca	Fe56/Ca43	SST	dO18	dO18sw					
4	4.738609071	62.52866376	28.03697416							
5				-3.0772						
6	4.747213552	34.11465685	28.05713168	-3.1824	-0.504664233					
7	4.935731263	114.0145674	28.48983186	-3.2502	-0.482318363					
8	4.805427108	38.46939789	28.19255503	-2.7924	-0.086451035					
9	4.71311359	37.56673209	27.97703084	-2.8182	-0.157151909					
10	4.766117484	145.4072106	28.1012895	-3.0554	-0.368464688					
10.75				-2.8542						
11	4.551884694	32.19995575	27.59028213	-2.8542	-0.273724556					
11.75				-2.9974						
12.75				-3.0178						
13.14				-3.0447						
13.75	4.890733223	39.66467059	28.38806958	-3.0218	-0.275118838					
14.75				-3.029						
15.75	4.608669033	72.9533453	27.72803476	-2.8434	-0.234226091					
16.75	4.557109457	75.68705055	27.60302842	-3.1082	-0.525069079					
17.75	4.3271299	56.77008048	27.02765009	-3.0904	-0.627139565					
18.75	5.170458971	83.15432085	29.00606096	-2.7892	0.086229367					
19.75				-2.8034						
20.75	4.411886253	28.72963837	27.24318162	-2.6462	-0.138037162					
25.75	4.465978539	97.15348785	27.37858194							
26				-2.9244	-0.388028763					
30.75	4.512893689	44.90456015	27.49469545							
31				-3.1362	-0.575638449					
35.75	4.486302588	75.69904696	27.42903235	-3.1454	-0.59851826					
40.75	4.514042221	87.18703284	27.49752287	-3.1342	-0.573049403					
45.75	4.689893132	74.42965476	27.92215358	-3.0024	-0.352784671					
50.75	4.440954851	85.1735928	27.31614929	-3.0522	-0.528835564					
55.75				-2.9984						
56	4.91849719	143.3044607	28.45096734	-2.9984	-0.238615137					
61				-3.0622						
66	5.123419464	148.4387716	28.90451229	-2.9907	-0.136426605					
71	4.516707273	41.47592269	27.50408084	-2.7272	-0.164683159					
76				-2.8514						
81				-2.7702						
86	4.698925338	72.19100383	27.94353175	-2.8364	-0.182330886					
91				-2.9847						
96				-3.0284						
97	4.571893428	135.3527273	27.63901625	-2.9572	-0.366571615					
100	4.802128864	132.545011	28.18492621	-3.0154	-0.311040372					
101	4.600345589	39.70415712	27.7079495	-2.7012	-0.096210521					
106	4.940392714	84.79906129	28.50032057	-2.8894	-0.119333215					
111				-2.7762						
115	4.792573681	77.47973405	28.16279551	-2.7988	-0.099050935					
116	4.823886116	74.85942859	28.2351542	-3.1673	-0.452476209					
121				-2.9254						
122				-2.9522						
126				-2.8782						
131				-3.0324						
135				-3.0542						
141				-2.9044						
143				-2.9892						
146	5.024775372	111.3968027	28.68849752	-2.9044	-0.095129683					
150				-2.9942						
151				-3.2404						
156				-3.0852						
161				-2.9693						
166				-2.9972						
171	4.868082954	102.3109538	28.33649158	-3.0944	-0.358464255					
175	4.62331587	152.3304934	27.76329105							
176				-2.8694	-0.252881031					
180	4.9816094	158.6426261	28.59263375	-2.9222	-0.132901301					
181	4.671122378	150.7602414	27.87759341	-2.9544	-0.314068039					
186				-2.9623						
191	4.549916698	60.92347995	27.58547723	-2.9215	-0.342025577					
196	4.704808404	129.212884	27.95743419	-3.2994	-0.642434545					
201	4.671959908	64.67034862	27.87958545	-3.1862	-0.545453032					
206	4.798885004	101.5706612	28.17741807	-3.1204	-0.417604568					
211	4.711849447	58.65189577	27.97405023	-3.2272	-0.566772868					
216	4.894964799	80.01658141	28.39767901	-3.1474	-0.398716873					
221	4.677714206	62.34519358	27.89326221	-3.0842	-0.440603705					
226	5.126403648	94.4742982	28.91098218	-2.9634	-0.107778712					
230	5.175111609	97.53134284	29.0160548	-2.8049	0.072611417					
231				-2.9324						
236	5.3046576	27.1881592	29.29076948	-3.0762	-0.141456358					
241				-3.0984						
246	5.023731231	132.2288978	28.68618841	-2.9942	-0.185410748					
251				-3.3196						
257	4.759255659	72.44049926	28.0852812	-3.1814	-0.497799749					
261				-3.1154						
265				-3.0725						
266				-3.2535						
271	5.036399016	119.8570307	28.7141708	-3.1294	-0.314781083					
276				-2.9562						
