Depth_cm	Mg/Ca	Fe/Ca	Al/Ca	dO18	d18Osw	SST
0.5	4.147	34	721	-3.20	-0.6997	27.21
1.5	4.665	32	55	-3.08	-0.3169	28.44
2.5	4.772	40	170	-3.10	-0.2920	28.68
3.5	4.773	47	31	-3.27	-0.4615	28.68
4.5	4.697	79	209	-3.00	-0.2268	28.52
10.5	4.288	21	818	-3.59	-1.0166	27.56
11.5	4.266	31	175	-3.07	-0.5078	27.50
13.5	4.357	27	1565	-3.07	-0.4617	27.72
15.5	4.372	56	4368	-3.29	-0.6691	27.76
16.5	4.568	41	2427	-2.90	-0.1880	28.22
19.5	4.283	97	115	-2.93	-0.3591	27.54
20.5				-2.98		
21.5	4.238	57	124			27.43
22.5	4.415	31	30	-3.03	-0.3927	27.86
25.5	4.282	54	142	-3.30	-0.7297	27.54
26.5	4.575	75	99	-3.28	-0.5596	28.24
27.5	4.2	24	141	-3.43	-0.9019	27.34
28.5	4.62	84	53	-3.21	-0.4732	28.34
29.5	4.237	116	426	-3.13	-0.5828	27.43
30.5	4.209	156	511	-3.12	-0.5872	27.36
31.5				-3.26		
32.5				-3.20		
34.5	4.477	156	157	-2.99	-0.3171	28.01
35.5	4.611	72	539	-3.12	-0.3874	28.32
36.5	4.698	46	592	-2.96	-0.1864	28.52
37.5	4.757	84	82	-3.20	-0.3939	28.65
43.5	4.234	43	214	-2.79	-0.2443	27.42
44.5	4.345	29	1699	-3.05	-0.4477	27.70
45.5				-2.98		
46.5	4.47	60	77	-3.25	-0.5856	27.99
47.5				-3.37		
48.5	4.486	73	39	-3.14	-0.4677	28.03
49.5	4.437	114	143	-2.97	-0.3218	27.92
50.5	4.872	165	295	-3.15	-0.2964	28.90
51.5	4.404	125	104	-3.35	-0.7132	27.84
52.5	4.333	117	50	-3.26	-0.6638	27.67
53.5	4.423	66	374	-3.14	-0.4987	27.88
56.5	4.592	43	301	-3.09	-0.3665	28.28
57.5	4.807	103	79	-3.16	-0.3359	28.76
58.5	4.224	28	86	-2.92	-0.3795	27.40
59.5				-3.15		
63.5	4.604	164	582	-2.82	-0.0908	28.30
64.5				-3.38		
65.5	4.32	43	422	-2.89	-0.3003	27.63
67.5	4.662	36	146	-3.11	-0.3533	28.44
69.5	4.379	84	676	-3.05	-0.4306	27.78
71.5	4.595	118	51	-2.81	-0.0851	28.28
75.5	4.539	61	71	-3.01	-0.3120	28.15
79.5	4.561	47	25	-3.13	-0.4214	28.21
81.5				-3.11		
83.5				-3.28		
85.5				-2.97		
89.5	4.461	96	110	-2.97	-0.3100	27.97
91.5	4.811	107	239	-2.75	0.0759	28.77
93.5				-3.03		
95.5				-3.17		
97.5				-2.99		
99.5	4.301	103	277	-2.86	-0.2800	27.59
101.5				-3.13		
104.5					-3.1000	
105.5				-3.11		
107.5	4.888	126	322	-3.15	-0.2891	28.94
109.5	4.985	46	41	-2.98	-0.0759	29.14
113.5	4.75	149	221	-3.04	-0.2422	28.63
115.5	4.852	153	179	-3.14	-0.2954	28.86
117.5	4.69	90	23	-3.27	-0.5001	28.50
119.5	4.374	97	98	-3.21	-0.5931	27.76
121.5	4.921	70	72	-2.94	-0.0643	29.01
123.5	4.42	99	299	-2.85	-0.2102	27.87
125.5				-2.89		
129.5				-2.71		
131.5	4.726	37	59	-3.17	-0.3833	28.58
135.5	4.708	47	60	-2.92	-0.1417	28.54
137.5	4.66	133	23	-2.82	-0.0642	28.43
139.5	4.537	83	141	-3.11	-0.4129	28.15
141.5				-3.20		
143.5	4.493	110	304	-3.09	-0.4143	28.05
145.5				-3.17		
149.5	4.615	110	221	-3.27	-0.5355	28.33
151.5	4.931	128	241	-2.93	-0.0499	29.03
153.5	4.783	124	1109	-3.11	-0.2969	28.71
157.5				-3.01		
159.5	4.315	65	90	-3.14	-0.5529	27.62
161.5	4.842	123	103			28.84
165.5	4.797	112	66	-3.05	-0.2305	28.74
167.5	4.315	142	247	-2.64	-0.0529	27.62
169.5	4.672	63	76	-3.00	-0.2386	28.46
171.5	4.503	39	30	-3.11	-0.4294	28.07
173.5				-2.90		
175.5				-3.20		
177.5	4.709	66	33	-2.92	-0.1412	28.54
179.5	4.57	139	309	-3.36	-0.6470	28.23
181.5				-2.80		
183.5				-3.26		
185.5				-2.75		
187.5				-3.06		
189.5				-2.82		
191.5	4.684	170	232	-3.19	-0.4229	28.49
193.5	4.844	158	97	-2.75	0.0909	28.84
195.5	4.662	131	1215	-3.02	-0.2633	28.44
197.5				-3.31		
199.5	4.243	87	59	-2.94	-0.3897	27.45
