Depth_cm	d18OC	O18sw	SST
15	-2.9875	-0.52326	27.51
18	-2.9455	-0.48007	27.52
19	-2.8565	-0.21161	28.38
20	-3.1555	-0.39008	28.96
21	-2.9805	-0.30049	28.55
22	-2.8975	-0.36613	27.83
23	-3.0295	-0.46988	27.97
24	-2.9355	-0.31745	28.25
25	-3.1125	-0.48847	28.28
26	-3.1415	-0.78252	27.01
27	-3.1225	-0.78011	26.93
28	-3.0615	-0.64824	27.27
29	-2.8715	-0.45033	27.31
30	-2.9325	-0.46945	27.51
31	-3.2005	-0.78232	27.29
32	-2.9695	-0.49015	27.58
33	-3.1755	-0.84531	26.87
34	-3.1905	-0.62917	27.98
35	-3.0735	-0.62994	27.41
36	-2.8858	-0.36504	27.78
37	-3.0201	-0.44707	28.03
38	-3.0075	-0.60786	27.20
39	-3.1387	-0.68042	27.48
40	-3.0501	-0.55687	27.65
41	-2.8230	-0.31723	27.71
42	-2.8297	-0.20758	28.27
43	-3.0926	-0.45314	28.35
44	-2.8071	-0.23883	28.01
45	-2.9929	-0.54618	27.43
46	-3.0908	-0.39724	28.61
47	-3.0205	-0.47067	27.92
48	-2.9761	-0.39661	28.07
49	-3.2617	-0.63253	28.30
50	-2.9409	-0.46535	27.57
51	-3.1225	-0.44591	28.53
52	-2.9950	-0.49145	27.70
53	-2.8676	-0.32433	27.89
54	-2.9112	-0.32394	28.10
55	-2.9293	-0.46513	27.51
56	-3.0845	-0.61726	27.53
57	-2.9359	-0.32288	28.23
58	-3.2288	-0.57508	28.42
59	-3.0974	-0.37325	28.76
60	-3.1414	-0.40697	28.81
61	-2.8979	-0.29666	28.17
62	-3.2276	-0.58171	28.38
63	-2.8441	-0.34835	27.66
64	-3.1189	-0.61508	27.70
65	-2.6837	-0.11525	28.01
66	-3.1681	-0.59958	28.01
68	-2.9440	-0.18900	28.91
69	-2.9264	-0.23436	28.61
72	-2.9761	-0.50720	27.53
73	-2.8786	0.02991	29.65
74	-2.9084	-0.16915	28.83
75	-3.0036	-0.33939	28.47
76	-2.9175	-0.29020	28.30
77	-2.9127	-0.27888	28.33
78	-3.0782	-0.51476	27.99
79	-2.8934	-0.08142	29.18
80	-3.0374	-0.50008	27.86
81	-2.9235	-0.39601	27.82
82	-2.9336	-0.16310	28.98
83	-2.7291	-0.10098	28.30
84	-2.7083	-0.12608	28.08
85	-2.8786	-0.14484	28.81
86	-2.8370	-0.20596	28.31
87	-2.8569	-0.26691	28.12
88	-2.8207	-0.13049	28.60
89	-2.9109	-0.26249	28.40
90	-2.8130	-0.21443	28.16
91	-2.8246	-0.23275	28.12
92	-2.9720	-0.29002	28.56
93	-2.9921	-0.36490	28.29
95	-3.0122	-0.11046	29.61
96	-2.9705	-0.23322	28.82
97	-2.8276	-0.03863	29.07
98	-2.8625	-0.07633	29.06
99	-2.7540	0.04302	29.11
101	-2.7689	-0.24089	27.82
102	-2.8036	0.02938	29.28
103	-2.7806	-0.08951	28.60
104	-2.7575	0.00206	28.93
105	-2.9037	-0.16730	28.82
106	-3.1757	-0.50988	28.48
108	-3.1767	-0.50344	28.52
109	-3.1630	-0.34453	29.21
110	-3.1493	-0.31618	29.28
111	-2.6837	-0.02205	28.46
112	-3.2746	-0.65535	28.26
113	-2.9075	-0.07501	29.28
114	-2.8359	-0.36001	27.57
115	-2.9927	-0.21800	29.00
117	-3.1043	-0.11886	30.01
118	-2.9827	-0.44318	27.87
119	-3.0005	-0.40618	28.14
120	-2.7408	0.06068	29.13
121	-2.9221	-0.03619	29.54
122	-2.9815	-0.35437	28.29
123	-2.8755	-0.08313	29.09
124	-3.1425	-0.38255	28.93
125	-3.0042	-0.53743	27.52
126	-2.9473	-0.38528	27.98
			
			
