Depth_cm	Year_CE	Age _YBP
2.5	1986.6	-36.6
3.5	1982.1	-32.1
4.5	1977.5	-27.5
5.5	1973.0	-23.0
6.5	1968.5	-18.5
7.5	1963.9	-13.9
8.5	1959.4	-9.4
9.5	1954.8	-4.8
10.5	1950.3	-0.3
11.5	1945.7	4.3
12.5	1941.2	8.8
13.5	1936.6	13.4
14.5	1932.1	17.9
15.5	1927.5	22.5
16.5	1923.0	27.0
18.5	1913.9	36.1
19.5	1909.4	40.6
20.5	1904.8	45.2
21.5	1900.3	49.7
22.5	1895.7	54.3
23.5	1891.2	58.8
24.5	1884.3	65.7
25.5	1877.4	72.6
26.5	1870.4	79.6
27.5	1863.5	86.5
28.5	1856.6	93.4
29.5	1849.7	100.3
30.5	1842.8	107.2
31.5	1835.9	114.1
32.5	1829.0	121.0
33.5	1822.1	127.9
34.5	1815.2	134.8
35.5	1808.3	141.7
36.5	1801.3	148.7
37.5	1794.4	155.6
38.5	1787.5	162.5
39.5	1780.6	169.4
40.5	1773.7	176.3
41.5	1766.8	183.2
42.5	1759.9	190.1
43.5	1753.0	197.0
44.5	1746.1	203.9
45.5	1739.1	210.9
46.5	1732.2	217.8
47.5	1725.3	224.7
48.5	1718.4	231.6
49.5	1711.5	238.5
		
