Depth_cm	Year_CE	Age _YBP
0.5	1622.47	327.53
1.5	1618.41	331.59
2.5	1614.34	335.66
3.5	1610.28	339.72
4.5	1606.22	343.78
10.5	1581.84	368.16
11.5	1577.78	372.22
13.5	1569.66	380.34
15.5	1561.53	388.47
16.5	1557.47	392.53
19.5	1545.28	404.72
20.5	1541.22	408.78
21.5	1537.16	412.84
22.5	1533.09	416.91
25.5	1520.91	429.09
26.5	1516.84	433.16
27.5	1512.78	437.22
28.5	1508.72	441.28
29.5	1504.66	445.34
30.5	1500.59	449.41
31.5	1496.53	453.47
32.5	1492.47	457.53
34.5	1484.34	465.66
35.5	1480.28	469.72
36.5	1476.22	473.78
37.5	1472.16	477.84
43.5	1447.78	502.22
44.5	1443.72	506.28
45.5	1439.66	510.34
46.5	1435.59	514.41
47.5	1431.53	518.47
48.5	1427.47	522.53
49.5	1423.41	526.59
50.5	1419.34	530.66
51.5	1415.28	534.72
52.5	1411.22	538.78
53.5	1407.16	542.84
56.5	1394.97	555.03
57.5	1390.91	559.09
58.5	1386.84	563.16
59.5	1382.78	567.22
63.5	1366.53	583.47
64.5	1362.47	587.53
65.5	1358.41	591.59
67.5	1350.28	599.72
69.5	1342.16	607.84
71.5	1334.03	615.97
75.5	1317.78	632.22
79.5	1301.53	648.47
81.5	1293.41	656.59
83.5	1285.28	664.72
85.5	1277.16	672.84
89.5	1260.91	689.09
91.5	1252.78	697.22
93.5	1244.66	705.34
95.5	1236.53	713.47
97.5	1228.41	721.59
99.5	1220.28	729.72
101.5	1212.16	737.84
104.5	1198.55	751.45
105.5	1193.06	756.94
107.5	1181.15	768.85
109.5	1169.23	780.77
113.5	1145.40	804.60
115.5	1133.48	816.52
117.5	1121.56	828.44
119.5	1109.65	840.35
121.5	1097.73	852.27
123.5	1085.81	864.19
125.5	1073.90	876.10
129.5	1050.06	899.94
131.5	1038.15	911.85
135.5	1014.31	935.69
137.5	1002.40	947.60
139.5	990.48	959.52
141.5	978.56	971.44
143.5	966.65	983.35
145.5	954.73	995.27
149.5	930.90	1019.10
151.5	918.98	1031.02
153.5	907.06	1042.94
157.5	883.23	1066.77
159.5	871.31	1078.69
161.5	859.40	1090.60
165.5	835.56	1114.44
167.5	823.65	1126.35
169.5	811.73	1138.27
171.5	799.81	1150.19
173.5	787.90	1162.10
175.5	775.98	1174.02
177.5	764.06	1185.94
179.5	752.15	1197.85
181.5	740.23	1209.77
183.5	728.31	1221.69
185.5	716.40	1233.60
187.5	704.48	1245.52
189.5	692.56	1257.44
191.5	680.65	1269.35
193.5	668.73	1281.27
195.5	656.81	1293.19
197.5	644.90	1305.10
199.5	632.98	1317.02
203.5	616.57	1333.43
205.5	608.90	1341.10
207.5	601.23	1348.77
209.5	593.55	1356.45
211.5	585.88	1364.12
213.5	578.21	1371.79
215.5	570.53	1379.47
217.5	562.86	1387.14
219.5	555.19	1394.81
221.5	547.51	1402.49
223.5	539.84	1410.16
225.5	532.17	1417.83
227.5	524.50	1425.50
229.5	516.82	1433.18
231.5	509.15	1440.85
233.5	501.48	1448.52
237.5	486.13	1463.87
239.5	478.46	1471.54
241.5	470.78	1479.22
243.5	463.11	1486.89
245.5	455.44	1494.56
247.5	447.76	1502.24
249.5	440.09	1509.91
251.5	432.42	1517.58
253.5	424.75	1525.25
255.5	417.07	1532.93
259.5	401.73	1548.27
261.5	394.05	1555.95
263.5	386.38	1563.62
265.5	378.71	1571.29
267.5	371.03	1578.97
271.5	355.69	1594.31
273.5	348.01	1601.99
275.5	340.34	1609.66
277.5	332.67	1617.33
279.5	325.00	1625.00
281.5	317.32	1632.68
287.5	294.30	1655.70
291.5	278.96	1671.04
293.5	271.28	1678.72
295.5	263.61	1686.39
297.5	255.94	1694.06
299.5	248.26	1701.74
301.5	240.59	1709.41
303.5	232.92	1717.08
307.5	204.05	1745.95
309.5	188.65	1761.35
311.5	173.25	1776.75
313.5	157.86	1792.14
315.5	142.46	1807.54
317.5	127.06	1822.94
319.5	111.66	1838.34
321.5	96.26	1853.74
323.5	80.86	1869.14
325.5	65.46	1884.54
327.5	50.07	1899.93
331.5	19.27	1930.73
333.5	3.87	1946.13
341.5	-57.73	2007.73
343.5	-73.12	2023.12
351.5	-134.72	2084.72
355.5	-165.52	2115.52
357.5	-180.92	2130.92
361.5	-211.71	2161.71
365.5	-242.51	2192.51
367.5	-257.91	2207.91
373.5	-304.10	2254.10
377.5	-334.90	2284.90
379.5	-350.30	2300.30
381.5	-365.70	2315.70
		
		
		
		
