Depth_cm	Year_CE	Age _YBP
15	1815.00	134.9999998
18	1794.29	155.7142855
19	1787.38	162.6190475
20	1780.48	169.5238094
21	1773.57	176.4285713
22	1766.67	183.3333332
23	1759.76	190.2380951
24	1752.86	197.142857
25	1745.95	204.0476189
26	1739.05	210.9523809
27	1732.14	217.8571428
28	1725.24	224.7619047
29	1718.33	231.6666666
30	1711.43	238.5714285
31	1704.52	245.4761904
32	1697.62	252.3809523
33	1690.71	259.2857143
34	1683.81	266.1904762
35	1676.90	273.0952381
36	1670.00	280
37	1663.33	286.67
38	1656.66	293.34
39	1649.99	300.01
40	1643.32	306.68
41	1636.65	313.35
42	1629.98	320.02
43	1623.31	326.69
44	1616.64	333.36
45	1609.97	340.03
46	1603.30	346.7
47	1596.63	353.37
48	1589.96	360.04
49	1583.29	366.71
50	1576.62	373.38
51	1569.95	380.05
52	1563.28	386.72
53	1556.61	393.39
54	1549.94	400.06
55	1543.27	406.73
56	1536.60	413.4
57	1529.93	420.07
58	1523.26	426.74
59	1516.59	433.41
60	1509.92	440.08
61	1503.25	446.75
62	1496.58	453.42
63	1489.91	460.09
64	1483.24	466.76
65	1476.57	473.43
66	1469.90	480.1
68	1456.56	493.44
69	1449.89	500.11
72	1429.88	520.12
73	1422.00	528
74	1414.12	535.88
75	1406.24	543.76
76	1398.36	551.64
77	1390.48	559.52
78	1382.60	567.4
79	1374.72	575.28
80	1366.84	583.16
81	1358.96	591.04
82	1351.08	598.92
83	1343.20	606.8
84	1335.32	614.68
85	1327.44	622.56
86	1319.56	630.44
87	1311.68	638.32
88	1303.80	646.2
89	1295.92	654.08
90	1288.04	661.96
91	1280.16	669.84
92	1272.28	677.72
93	1264.40	685.6
95	1248.64	701.36
96	1240.76	709.24
97	1232.88	717.12
98	1225.00	725
99	1217.12	732.88
101	1201.36	748.64
102	1193.48	756.52
103	1185.60	764.4
104	1177.72	772.28
105	1169.84	780.16
106	1161.96	788.04
108	1146.20	803.8
109	1138.32	811.68
110	1130.44	819.56
111	1122.56	827.44
112	1114.68	835.32
113	1106.80	843.2
114	1098.92	851.08
115	1091.04	858.96
117	1075.28	874.72
118	1067.40	882.6
119	1059.52	890.48
120	1051.64	898.36
121	1043.76	906.24
122	1035.88	914.12
123	1028.00	922
124	1020.12	929.88
125	1012.24	937.76
126	1004.36	945.64
		
		
