Year_CE	Age _YBP	d18Osw 	d18OC	Mg/Ca	Fe/Ca_µmol/mol	Al/Ca_µmol/mol	SST (¡C)
1986.6	-36.6		-3.0910455				
1982.1	-32.1	-0.398279724	-3.2112995	5.032920927	74.80847682	967.3454205	28.70649492
1977.5	-27.5	-0.235412377	-3.0648135	5.068663933	64.80216941	556.9758788	28.78512539
1973.0	-23.0	-0.185111527	-2.902891	4.830049453	33.71287458	160.9650334	28.24934147
1968.5	-18.5	-0.050915048	-2.959436	5.244904453	41.73961913	62.86500515	29.16490057
1963.9	-13.9	-0.388227465	-3.145506	4.913174648	56.94462296	53.84099887	28.43893697
1959.4	-9.4	-0.183167974	-3.0676677	5.190758617	44.56150538	139.8126063	29.04959869
1954.8	-4.8	-0.360542536	-3.088506	4.851345991	24.17278651	34.5813701	28.29822463
1950.3	-0.3	-0.062720439	-2.83611	4.94748944	149.8608293	142.7501282	28.51626989
1945.7	4.3	-0.303850701	-3.0510555	4.891839688	25.00448454	24.7274549	28.39058304
1941.2	8.8	-0.266574567	-2.882187	4.621505624	31.38077979	242.6647683	27.75893968
1936.6	13.4	-0.32837476	-2.9490105	4.631545498	69.2517312	173.2145475	27.78305155
1932.1	17.9	-0.373830268	-3.0713893	4.788041597	57.96796641	446.2671113	28.15228335
1927.5	22.5	-0.555618571	-3.0628653	4.410140554	93.87081721	499.7059158	27.2387843
1923.0	27.0	-0.519459782	-3.1358393	4.623037356	24.77487222	171.1718676	27.76262168
1913.9	36.1	-0.374090099	-3.1118393	4.871898167	41.77497151	141.6581896	28.34519616
1909.4	40.6	-0.452549803	-3.0867052	4.65867515	29.45450001	50.11096343	27.8479459
1904.8	45.2	-0.613878398	-3.3048082	4.774349089	25.49941301	19.65870621	28.12046305
1900.3	49.7	-0.378126449	-2.87761	4.39537507	37.34958454	176.65882	27.20152104
1895.7	54.3	-0.169686814	-3.02811	5.132612507	36.52313509	27.0411178	28.92443129
1891.2	58.8	-0.027063345	-2.70661	4.750928766	46.94921102	210.2160645	28.06582394
1884.3	65.7	-0.186920567	-3.0612347	5.16796854	30.73392293	531.4759744	29.00070784
1877.4	72.6	-0.185253177	-2.885891	4.79441411	20.95962607	229.4381011	28.16706155
1870.4	79.6	-0.365411703	-3.20761	5.096763029	46.8970447	134.1704933	28.84655183
1863.5	86.5	-0.606005187	-3.2221383	4.622545274	33.46549236	148.6469599	27.76143894
1856.6	93.4	-0.606349655	-3.229951	4.637482965	42.38748667	285.9572269	27.79728646
1849.7	100.3	-0.572641596	-3.09311	4.435402311	30.13855562	211.6487705	27.30224834
1842.8	107.2	-0.388001973	-3.0524355	4.720011601	68.44664428	617.7535529	27.99328093
1835.9	114.1	-0.347783618	-2.9540473	4.602878573	94.01520759	145.5907276	27.71406567
1829.0	121.0	-0.582438389	-3.1336875	4.494774904	29.14390632	247.4229006	27.44999573
1822.1	127.9	-0.702784061	-3.1709655	4.336338616	46.20680476	43.74014811	27.05127091
1815.2	134.8	-0.302391396	-2.867138	4.521060123	47.60588821	174.4963898	27.5147837
1808.3	141.7	-0.254923161	-2.817186	4.516211687	61.80578891	171.1975757	27.50286162
1801.3	148.7	-0.096391375	-2.9556677	5.13450451	102.8074948	255.900474	28.92852636
1794.4	155.6	-0.532819443	-3.0532958	4.435417549	39.94158956	55.70854022	27.30228651
1787.5	162.5	-0.493586437	-3.1253717	4.653907585	51.68770353	49.06962488	27.83656926
1780.6	169.4	-0.412529552	-2.927506	4.424891681	39.65710053	69.46374599	27.27588695
1773.7	176.3	-0.390019959	-3.0598082	4.730942743	66.80445267	96.33343767	28.01898356
1766.8	183.2	-0.517862153	-3.14911	4.65282724	30.9573542	42.92297495	27.83398966
1759.9	190.1	-0.692320272	-3.44011	4.893075959	75.25463099	189.9394997	28.39339069
1753.0	197.0	-0.416216926	-2.996762	4.552021618	116.591544	237.8066736	27.59061636
1746.1	203.9	-0.43327871	-3.0615052	4.646758211	69.84408431	153.095057	27.81948715
1739.1	210.9	-0.610860748	-3.0843093	4.346216725	49.16463242	163.5323684	27.07655305
1732.2	217.8	-0.432319256	-3.0458393	4.617330078	42.42437835	50.27978114	27.74889621
1725.3	224.7		-3.090805				
1718.4	231.6	-0.548629437	-2.99211	4.290312513	34.46997795	630.6351873	26.9327067
1711.5	238.5	-0.417167781	-3.096188	4.749848431	62.51944841	123.0065305	28.06329705
