Year_CE	Age _YBP	Mg/Ca	Fe56/Ca43	SST	dO18	dO18sw
		4.738609071	62.52866376	28.03697416		
1942.67	7.51				-3.0772	
1935.34	15.01	4.747213552	34.11465685	28.05713168	-3.1824	-0.504664233
1928.01	22.52	4.935731263	114.0145674	28.48983186	-3.2502	-0.482318363
1920.69	30.03	4.805427108	38.46939789	28.19255503	-2.7924	-0.086451035
1913.36	37.54	4.71311359	37.56673209	27.97703084	-2.8182	-0.157151909
1906.03	45.04	4.766117484	145.4072106	28.1012895	-3.0554	-0.368464688
1900.53	50.68				-2.8542	
		4.551884694	32.19995575	27.59028213	-2.8542	-0.273724556
1893.21	58.18				-2.9974	
1885.88	65.69				-3.0178	
1883.02	68.62				-3.0447	
1878.55	73.2	4.890733223	39.66467059	28.38806958	-3.0218	-0.275118838
1871.22	80.71				-3.029	
1863.89	88.21	4.608669033	72.9533453	27.72803476	-2.8434	-0.234226091
1856.56	95.72	4.557109457	75.68705055	27.60302842	-3.1082	-0.525069079
1849.24	103.23	4.3271299	56.77008048	27.02765009	-3.0904	-0.627139565
1841.91	110.74	5.170458971	83.15432085	29.00606096	-2.7892	0.086229367
1834.58	118.24				-2.8034	
1827.25	125.75	4.411886253	28.72963837	27.24318162	-2.6462	-0.138037162
		4.465978539	97.15348785	27.37858194		
1788.78	165.16				-2.9244	-0.388028763
		4.512893689	44.90456015	27.49469545		
1752.13	202.7				-3.1362	-0.575638449
1717.32	238.36	4.486302588	75.69904696	27.42903235	-3.1454	-0.59851826
1680.68	275.9	4.514042221	87.18703284	27.49752287	-3.1342	-0.573049403
1644.04	313.44	4.689893132	74.42965476	27.92215358	-3.0024	-0.352784671
1607.4	350.97	4.440954851	85.1735928	27.31614929	-3.0522	-0.528835564
1570.76	388.51				-2.9984	
		4.91849719	143.3044607	28.45096734	-2.9984	-0.238615137
1532.28	427.93				-3.0622	
1495.64	465.46	5.123419464	148.4387716	28.90451229	-2.9907	-0.136426605
1459	503	4.516707273	41.47592269	27.50408084	-2.7272	-0.164683159
1449.15	513.46				-2.8514	
1439.31	523.92				-2.7702	
1429.46	534.38	4.698925338	72.19100383	27.94353175	-2.8364	-0.182330886
1419.62	544.85				-2.9847	
1409.77	555.31				-3.0284	
1407.8	557.4	4.571893428	135.3527273	27.63901625	-2.9572	-0.366571615
1401.89	563.68	4.802128864	132.545011	28.18492621	-3.0154	-0.311040372
1399.92	565.77	4.600345589	39.70415712	27.7079495	-2.7012	-0.096210521
1390.08	576.23	4.940392714	84.79906129	28.50032057	-2.8894	-0.119333215
1380.23	586.69				-2.7762	
1372.35	595.06	4.792573681	77.47973405	28.16279551	-2.7988	-0.099050935
1370.38	597.15	4.823886116	74.85942859	28.2351542	-3.1673	-0.452476209
1360.54	607.62				-2.9254	
1358.57	609.71				-2.9522	
1350.69	618.08				-2.8782	
1340.85	628.54				-3.0324	
1332.97	636.91				-3.0542	
1286.91	683.89				-2.9044	
1269.27	701.84				-2.9892	
1242.82	728.77	5.024775372	111.3968027	28.68849752	-2.9044	-0.095129683
1207.55	764.68				-2.9942	
1198.73	773.66				-3.2404	
1154.64	818.55				-3.0852	
1110.55	863.43				-2.9693	
1066.45	908.32				-2.9972	
1022.36	953.2	4.868082954	102.3109538	28.33649158	-3.0944	-0.358464255
		4.62331587	152.3304934	27.76329105		
978.27	998.09				-2.8694	-0.252881031
943	1034	4.9816094	158.6426261	28.59263375	-2.9222	-0.132901301
930.94	1046.2	4.671122378	150.7602414	27.87759341	-2.9544	-0.314068039
870.64	1107.2				-2.9623	
810.34	1168.2	4.549916698	60.92347995	27.58547723	-2.9215	-0.342025577
750.04	1229.2	4.704808404	129.212884	27.95743419	-3.2994	-0.642434545
689.74	1290.2	4.671959908	64.67034862	27.87958545	-3.1862	-0.545453032
629.44	1351.2	4.798885004	101.5706612	28.17741807	-3.1204	-0.417604568
569.14	1412.2	4.711849447	58.65189577	27.97405023	-3.2272	-0.566772868
508.84	1473.2	4.894964799	80.01658141	28.39767901	-3.1474	-0.398716873
448.54	1534.2	4.677714206	62.34519358	27.89326221	-3.0842	-0.440603705
388.24	1595.2	5.126403648	94.4742982	28.91098218	-2.9634	-0.107778712
340	1644	5.175111609	97.53134284	29.0160548	-2.8049	0.072611417
333.65	1650.17				-2.9324	
301.91	1681.04	5.3046576	27.1881592	29.29076948	-3.0762	-0.141456358
270.17	1711.91				-3.0984	
238.43	1742.78	5.023731231	132.2288978	28.68618841	-2.9942	-0.185410748
206.7	1773.65				-3.3196	
168.61	1810.7	4.759255659	72.44049926	28.0852812	-3.1814	-0.497799749
143.22	1835.39				-3.1154	
117.83	1860.09				-3.0725	
111.48	1866.26				-3.2535	
79.74	1897.13	5.036399016	119.8570307	28.7141708	-3.1294	-0.314781083
48	1928				-2.9562	
