Year_CE	Age _YBP	Mg/Ca	Fe/Ca	Al/Ca	dO18	d18Osw	SST
1622.47	327.53	4.147	34	721	-3.20	-0.6997	27.21
1618.41	331.59	4.665	32	55	-3.08	-0.3169	28.44
1614.34	335.66	4.772	40	170	-3.10	-0.2920	28.68
1610.28	339.72	4.773	47	31	-3.27	-0.4615	28.68
1606.22	343.78	4.697	79	209	-3.00	-0.2268	28.52
1581.84	368.16	4.288	21	818	-3.59	-1.0166	27.56
1577.78	372.22	4.266	31	175	-3.07	-0.5078	27.50
1569.66	380.34	4.357	27	1565	-3.07	-0.4617	27.72
1561.53	388.47	4.372	56	4368	-3.29	-0.6691	27.76
1557.47	392.53	4.568	41	2427	-2.90	-0.1880	28.22
1545.28	404.72	4.283	97	115	-2.93	-0.3591	27.54
1541.22	408.78				-2.98		
1537.16	412.84	4.238	57	124			27.43
1533.09	416.91	4.415	31	30	-3.03	-0.3927	27.86
1520.91	429.09	4.282	54	142	-3.30	-0.7297	27.54
1516.84	433.16	4.575	75	99	-3.28	-0.5596	28.24
1512.78	437.22	4.2	24	141	-3.43	-0.9019	27.34
1508.72	441.28	4.62	84	53	-3.21	-0.4732	28.34
1504.66	445.34	4.237	116	426	-3.13	-0.5828	27.43
1500.59	449.41	4.209	156	511	-3.12	-0.5872	27.36
1496.53	453.47				-3.26		
1492.47	457.53				-3.20		
1484.34	465.66	4.477	156	157	-2.99	-0.3171	28.01
1480.28	469.72	4.611	72	539	-3.12	-0.3874	28.32
1476.22	473.78	4.698	46	592	-2.96	-0.1864	28.52
1472.16	477.84	4.757	84	82	-3.20	-0.3939	28.65
1447.78	502.22	4.234	43	214	-2.79	-0.2443	27.42
1443.72	506.28	4.345	29	1699	-3.05	-0.4477	27.70
1439.66	510.34				-2.98		
1435.59	514.41	4.47	60	77	-3.25	-0.5856	27.99
1431.53	518.47				-3.37		
1427.47	522.53	4.486	73	39	-3.14	-0.4677	28.03
1423.41	526.59	4.437	114	143	-2.97	-0.3218	27.92
1419.34	530.66	4.872	165	295	-3.15	-0.2964	28.90
1415.28	534.72	4.404	125	104	-3.35	-0.7132	27.84
1411.22	538.78	4.333	117	50	-3.26	-0.6638	27.67
1407.16	542.84	4.423	66	374	-3.14	-0.4987	27.88
1394.97	555.03	4.592	43	301	-3.09	-0.3665	28.28
1390.91	559.09	4.807	103	79	-3.16	-0.3359	28.76
1386.84	563.16	4.224	28	86	-2.92	-0.3795	27.40
1382.78	567.22				-3.15		
1366.53	583.47	4.604	164	582	-2.82	-0.0908	28.30
1362.47	587.53				-3.38		
1358.41	591.59	4.32	43	422	-2.89	-0.3003	27.63
1350.28	599.72	4.662	36	146	-3.11	-0.3533	28.44
1342.16	607.84	4.379	84	676	-3.05	-0.4306	27.78
1334.03	615.97	4.595	118	51	-2.81	-0.0851	28.28
1317.78	632.22	4.539	61	71	-3.01	-0.3120	28.15
1301.53	648.47	4.561	47	25	-3.13	-0.4214	28.21
1293.41	656.59				-3.11		
1285.28	664.72				-3.28		
1277.16	672.84				-2.97		
1260.91	689.09	4.461	96	110	-2.97	-0.3100	27.97
1252.78	697.22	4.811	107	239	-2.75	0.0759	28.77
1244.66	705.34				-3.03		
